fra,sexe,jour,n_dose1,n_cum_dose1
FR,1,2020-12-27,7,7
FR,1,2020-12-28,10,17
FR,1,2020-12-29,34,51
FR,1,2020-12-30,39,90
FR,1,2020-12-31,18,108
FR,1,2021-01-01,19,127
FR,1,2021-01-02,33,160
FR,1,2021-01-03,48,208
FR,1,2021-01-04,622,830
FR,1,2021-01-05,2249,3079
FR,1,2021-01-06,4661,7740
FR,1,2021-01-07,10937,18677
FR,1,2021-01-08,13770,32447
FR,1,2021-01-09,5066,37513
FR,1,2021-01-10,2596,40109
FR,1,2021-01-11,14272,54381
FR,1,2021-01-12,20981,75362
FR,1,2021-01-13,22282,97644
FR,1,2021-01-14,26986,124630
FR,1,2021-01-15,23271,147901
FR,1,2021-01-16,8348,156249
FR,1,2021-01-17,3737,159986
FR,1,2021-01-18,33791,193777
FR,1,2021-01-19,48373,242150
FR,1,2021-01-20,51252,293402
FR,1,2021-01-21,56857,350259
FR,1,2021-01-22,47382,397641
FR,1,2021-01-23,16664,414305
FR,1,2021-01-24,3673,417978
FR,1,2021-01-25,32864,450842
FR,1,2021-01-26,39917,490759
FR,1,2021-01-27,40995,531754
FR,1,2021-01-28,45069,576823
FR,1,2021-01-29,36408,613231
FR,1,2021-01-30,12527,625758
FR,1,2021-01-31,1908,627666
FR,1,2021-02-01,21991,649657
FR,1,2021-02-02,28518,678175
FR,1,2021-02-03,28368,706543
FR,1,2021-02-04,30850,737393
FR,1,2021-02-05,27554,764947
FR,1,2021-02-06,8990,773937
FR,1,2021-02-07,1806,775743
FR,1,2021-02-08,19559,795302
FR,1,2021-02-09,25798,821100
FR,1,2021-02-10,27000,848100
FR,1,2021-02-11,31842,879942
FR,1,2021-02-12,29684,909626
FR,1,2021-02-13,8893,918519
FR,1,2021-02-14,1803,920322
FR,1,2021-02-15,14236,934558
FR,1,2021-02-16,18579,953137
FR,1,2021-02-17,18424,971561
FR,1,2021-02-18,24225,995786
FR,1,2021-02-19,23500,1019286
FR,1,2021-02-20,7105,1026391
FR,1,2021-02-21,1118,1027509
FR,1,2021-02-22,14106,1041615
FR,1,2021-02-23,20199,1061814
FR,1,2021-02-24,22339,1084153
FR,1,2021-02-25,41636,1125789
FR,1,2021-02-26,48504,1174293
FR,2,2020-12-27,7,7
FR,2,2020-12-28,31,38
FR,2,2020-12-29,69,107
FR,2,2020-12-30,67,174
FR,2,2020-12-31,61,235
FR,2,2021-01-01,25,260
FR,2,2021-01-02,34,294
FR,2,2021-01-03,36,330
FR,2,2021-01-04,808,1138
FR,2,2021-01-05,3040,4178
FR,2,2021-01-06,6364,10542
FR,2,2021-01-07,16958,27500
FR,2,2021-01-08,21472,48972
FR,2,2021-01-09,5734,54706
FR,2,2021-01-10,2974,57680
FR,2,2021-01-11,23690,81370
FR,2,2021-01-12,37925,119295
FR,2,2021-01-13,39757,159052
FR,2,2021-01-14,50309,209361
FR,2,2021-01-15,42095,251456
FR,2,2021-01-16,11121,262577
FR,2,2021-01-17,6671,269248
FR,2,2021-01-18,49160,318408
FR,2,2021-01-19,77864,396272
FR,2,2021-01-20,81245,477517
FR,2,2021-01-21,95108,572625
FR,2,2021-01-22,68828,641453
FR,2,2021-01-23,20796,662249
FR,2,2021-01-24,5554,667803
FR,2,2021-01-25,42839,710642
FR,2,2021-01-26,56791,767433
FR,2,2021-01-27,62506,829939
FR,2,2021-01-28,74588,904527
FR,2,2021-01-29,52770,957297
FR,2,2021-01-30,15731,973028
FR,2,2021-01-31,2899,975927
FR,2,2021-02-01,28085,1004012
FR,2,2021-02-02,39527,1043539
