date,pseudo,contexte,composant,evenement
2024-09-10 16:55:09,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 16:55:19,829,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-10 16:56:25,829,Fichier: Exemples sur les tableaux à plusieurs dimensions,Fichier,Module de cours consulté
2024-09-10 16:56:28,829,Fichier: Fiche sur les tableaux à plusieurs dimensions,Fichier,Module de cours consulté
2024-09-10 16:57:03,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-10 16:59:28,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 18:15:18,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 18:16:21,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-10 18:17:13,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 18:27:03,829,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-10 18:29:03,829,Fichier: Fiche de cours sur les conditionnelles,Fichier,Module de cours consulté
2024-09-10 18:49:02,829,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-10 20:52:09,829,Autre,Fichier,Module de cours consulté
2024-09-10 20:52:29,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 20:53:18,829,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-10 22:09:22,447,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 22:10:01,447,Fichier: Exemples sur les tableaux à une dimension,Fichier,Module de cours consulté
2024-09-10 22:10:16,447,Forum: Question Réponses,Forum,Module de cours consulté
